frame,x,y
0,0.26209273338317873,0.4963668258101852
1,0.26761385599772136,0.49488033718532987
2,0.27309834162394203,0.4928279170283565
3,0.278195858001709,0.49180196126302084
4,0.28571561177571614,0.49120901602285877
5,0.29070568084716797,0.4897556446216725
6,0.2961602210998535,0.4885499177155671
7,0.3017393747965495,0.48904023347077547
8,0.3086161931355794,0.48777759693287037
9,0.31375900904337567,0.48631603099681714
10,0.32141971588134766,0.48613123010706016
11,0.3264520009358724,0.48516111020688657
12,0.3322074254353841,0.48507249620225695
13,0.33826791985171023,0.4834867837812299
14,0.3430503987898686,0.4842802079333079
15,0.34420164031112754,0.48371069938618766
16,0.35739256540934244,0.48522909658926505
17,0.36428203582763674,0.4852249710648148
18,0.36827430725097654,0.48469413474754053
19,0.37492030104122465,0.48610551514695277
20,0.3806924819946289,0.4853703251591435
21,0.3868177230876645,0.4865166003940047
22,0.3929857889811198,0.4868333604600694
23,0.3987316131591797,0.4876607259114583
24,0.4045890172322591,0.48727671305338544
25,0.4098218760137561,0.48923227269573394
26,0.41638380686442056,0.4886487042462384
27,0.4203070958455404,0.49045500578703705
28,0.4273298899332682,0.4914461489076968
29,0.4318638483683268,0.4919498019748264
30,0.43911940256754556,0.49297349717881944
31,0.44250109990437825,0.4939578021014178
32,0.4474398930867513,0.4955535888671875
33,0.4531494776407878,0.4950828269675926
34,0.45757764180501304,0.49824241355613424
35,0.46213397979736326,0.49958100495515045
36,0.46757571977427337,0.5002630119775996
37,0.4713398615519206,0.5026071619104456
38,0.4747485152651523,0.5044969410450132
39,0.4756552563137887,0.5563092296470835
40,0.4772740179193173,0.5493807112971311
41,0.48613201777140297,0.5097559045862269
42,0.49372062683105467,0.5127006248191551
43,0.496043825225178,0.5128749252682169
44,0.4983175277709961,0.5175625836407697
45,0.5018304824829102,0.5200037638346354
46,0.5038460731506348,0.5210910373263888
47,0.5065333366394043,0.524632489239728
48,0.5113089879353842,0.5257023564091435
49,0.5125749905904134,0.5281373200593171
50,0.514564985447923,0.5316434434814489
51,0.4805854140043474,0.5645910183816787
52,0.4759647546570168,0.5690091159335322
53,0.47532220160918526,0.5702800260264248
54,0.4013705161443291,0.5760586296508785
55,0.3974193068712712,0.5781539474849007
56,0.39555431096141164,0.5810280771467061
57,0.3952456073546518,0.5851731581475506
58,0.39382938534371814,0.5875567343244491
59,0.3886563795938284,0.5890245177683666
60,0.39402631308504465,0.5898322420821297
61,0.39540025096384446,0.591078560720747
62,0.3953120835428292,0.5927231602647927
63,0.4536045938643816,0.5777945212511493
64,0.44690220878770787,0.5800627762239398
65,0.5116974878285184,0.5787688885963486
66,0.5271298090616862,0.5804104275173612
67,0.5255926767985026,0.5844649138274016
68,0.5246890385945638,0.5872768825954862
69,0.5234776814778646,0.5899604514793113
70,0.522771167755127,0.5922177350079572
71,0.5205246607462565,0.597378087926794
72,0.5191078186035156,0.600770342791522
73,0.5180937449137369,0.6031363028067129
74,0.5152519953551282,0.6063217053625157
75,0.5126099268595378,0.6109181722005208
76,0.5110953648885092,0.6143125745985243
77,0.5088022549947103,0.6177272655345776
78,0.505276616414388,0.6211611147280093
79,0.5037317349482453,0.6253578983618652
80,0.5000807654631454,0.6291893003169198
81,0.4972802480061849,0.6316350866247107
82,0.49564094083637134,0.6351035182331509
83,0.4913561185201009,0.6411235668041088
84,0.48936100006103517,0.6426265010127314
85,0.4847895940144857,0.6475711963794849
86,0.4852771339025804,0.647421146888248
87,0.4841331624495831,0.648798239101915
88,0.48321798528718524,0.6498999128728487
89,0.470567975565355,0.6594920810437475
90,0.4645525430029101,0.662362273429967
91,0.46167318990702566,0.6673177936632219
92,0.4564704259236654,0.6715108235677083
93,0.45240577061971027,0.6741913406937211
94,0.45235971714158746,0.6745423277285628
95,0.44408702850341797,0.6823407773618345
96,0.43788615161298217,0.68442342075833
97,0.43543471142396584,0.6875605279618986
98,0.42959661170240043,0.6911951564583791
99,0.42942771603924645,0.6915708898235164
100,0.42775091621663414,0.6927955135736724
101,0.41466205603988104,0.7002803139010078
102,0.40745744705200193,0.7048019974320023
103,0.40287984212239586,0.7084227385344328
104,0.40284075344598724,0.7083307670178023
105,0.40088903437663803,0.7095915929793968
106,0.3993936744139913,0.7105847486833946
107,0.3981973864438739,0.7113792732465929
108,0.39724035606778,0.7120148928971515
109,0.3964747317669049,0.7125233886175983
110,0.3958622323262048,0.7129301851939559
111,0.39537223277364475,0.7132556224550419
112,0.3949802331315967,0.7135159722639107
113,0.39466663341795827,0.7137242521110058
114,0.34330330573365353,0.7360317273489988
115,0.33487943013509114,0.7407595599139178
116,0.3291396458943685,0.7411222669813368
117,0.3221771288474088,0.7451700940349004
118,0.3176472981770833,0.7476432517722801
119,0.31235472361246747,0.7483877111364294
120,0.30615774790445965,0.7518449006257234
121,0.30032005310058596,0.7520694308810764
122,0.2943970362345378,0.7553337379738136
123,0.29077990849812824,0.7560619212962963
124,0.2833643595377604,0.7584281638816551
125,0.2787501653035482,0.7588277746129919
126,0.271446164449056,0.7609738950376157
127,0.26720987955729164,0.7621429443359375
128,0.26068283716837565,0.7638374611183449
129,0.2563808759053548,0.7623185334382234
130,0.25089321136474607,0.7659202293113426
131,0.24649469057718912,0.76547201651114
132,0.24091339111328125,0.7668094211154514
133,0.23537119229634604,0.7668163158275463
134,0.23152774175008137,0.7673952455873843
135,0.22608753840128581,0.7679380628797743
136,0.22270396550496419,0.7658370971679688
137,0.21829309463500976,0.7688378228081597
138,0.21356013615926106,0.7680107399269387
139,0.21144529978434246,0.7666753133138021
140,0.20432523091634114,0.7671639901620371
141,0.20242640177408855,0.7665323893229167
142,0.20036212603251138,0.7656016031901042
143,0.1974299112955729,0.7649482444480613
144,0.19194860458374025,0.7635102448640047
145,0.18997290929158528,0.7626670554832176
146,0.18730874061584474,0.7606343587239583
147,0.18559878667195637,0.7585715964988425
148,0.1836062749226888,0.7565259015118634
149,0.18276920318603515,0.7553696808991609
150,0.1819127877553304,0.7529289528175637
151,0.17971253395080566,0.7493724681712963
152,0.1784395376841227,0.7485747160734953
153,0.17798558870951334,0.7440887451171875
154,0.17861935297648113,0.7423625239619502
155,0.17856232325236002,0.7384505660445602
156,0.178166135152181,0.735423109266493
157,0.1779242992401123,0.7323037606698496
158,0.1794682502746582,0.72782632333261
159,0.18201669057210287,0.7241367481372974
160,0.18270225524902345,0.7211585150824653
161,0.18484925839593655,0.7177333735858781
162,0.18865288098653157,0.7115311234085648
163,0.18766063232786287,0.7123148866116749
164,0.1883744487510459,0.7108277402182198
165,0.19627307256062826,0.6985941569010417
166,0.20116173426310222,0.6935991075303819
167,0.2052958923729036,0.6878676610311429
168,0.2104516665140788,0.681514259620949
169,0.21473175684611004,0.6771068996853299
170,0.22021238009134927,0.6727113511827257
171,0.22619023323059081,0.6653891104239005
172,0.23137836456298827,0.6597893608940972
173,0.23584348937893973,0.6572134816293411
174,0.24314139684041342,0.649028749819155
175,0.2515117179297324,0.6443363956427327
176,0.25880088806152346,0.6371284767433449
177,0.2658843199412028,0.6314058091905382
178,0.2735963185628255,0.626593921802662
179,0.28203632429176484,0.6203934646495772
